Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;EXS;FCO;GAW;LLE;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;RCO;RGC;RRA;RSD;RSU;TEN;TUC;Shape_Leng
54.27738883556135, -3.388581764318373;"{""coordinates"": [[-3.38945000000021, 54.28028199999982], [-3.3890820000002, 54.27911949999984], [-3.38773550000019, 54.274488999999846]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:96d1ea77-8822-47db-bfa5-8c7b75e463;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.00604165807
53.08328360312575, -2.365012803062474;"{""coordinates"": [[-2.4319270000002, 53.08826299999984], [-2.426110500000192, 53.08230149999982], [-2.420731500000187, 53.07983499999983], [-2.404406500000192, 53.07579449999983], [-2.393812500000195, 53.07587599999985], [-2.377331500000196, 53.07930899999985], [-2.369546000000184, 53.08202049999983], [-2.362857500000189, 53.08271349999984], [-2.346626000000185, 53.08286249999983], [-2.340995000000191, 53.08381349999985], [-2.321577500000188, 53.08990049999983], [-2.307578000000205, 53.09224499999985], [-2.295443500000204, 53.09326899999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:0c15953b-6e1f-4b9f-92f4-719f5694d1;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;2;45;0.14212583254
51.23253279497431, -1.216978660113867;"{""coordinates"": [[-1.222195000000198, 51.230777499999846], [-1.216934000000208, 51.23273849999983], [-1.211657000000201, 51.233934999999825]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:69c6f820-b911-486a-9561-19abe43b7a;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;1;45;0.01102553831
51.13884873669648, 0.878692568021566;"{""coordinates"": [[0.8784034999997911, 51.14013199999985], [0.8786174999997911, 51.13971849999984], [0.8788444999997861, 51.13752449999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:ef0f06a2-e69d-400f-aab3-a540a0620d;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.002671306419999
54.41204324274667, -0.7215696769014001;"{""coordinates"": [[-0.6999840000002, 54.386689999999845], [-0.702592500000208, 54.39206149999984], [-0.707809500000195, 54.398709999999845], [-0.712156500000191, 54.40614449999983], [-0.7162560000001861, 54.408075499999825], [-0.730659000000202, 54.40988449999983], [-0.736340000000212, 54.41218099999983], [-0.7366255000002011, 54.41678399999983], [-0.732011000000199, 54.42133549999983], [-0.732313500000202, 54.42531599999984], [-0.729760000000198, 54.42978949999983], [-0.724178000000194, 54.43331149999983], [-0.7244455000002, 54.43840799999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:7b2ca4d3-54f7-4a57-8973-cfe8f95a1b;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;1;North Yorkshire Moors Railway#Tourist-line;N_A;North Yorkshire Moors Railway#Tourist-line;N_A;ENG;N_A;N_A;3;4;1;1;2;45;0.080149828809999
53.43606525144701, -1.14157759434521;"{""coordinates"": [[-1.124277500000204, 53.44097499999984], [-1.125305000000196, 53.43749299999985], [-1.132820000000208, 53.433411999999834], [-1.136733000000191, 53.43343999999985], [-1.1466015000002021, 53.436746999999826], [-1.156669500000191, 53.43762749999984], [-1.161509000000194, 53.43558349999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:66f758c2-c3c4-4e68-9a7b-86a150ec71;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.0418628683
55.7708228966537, -3.92262418206174;"{""coordinates"": [[-3.920519000000183, 55.76984749999983], [-3.922494500000198, 55.770762999999846], [-3.924729500000183, 55.77179799999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:d9bf1be0-05a2-4097-bb88-99b66b2c9d;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.0046403406
54.11354605256136, -2.791033820343568;"{""coordinates"": [[-2.791776000000198, 54.11287099999984], [-2.791111500000198, 54.11347499999985], [-2.790292000000193, 54.11422149999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:ac01d55d-ac81-40c9-aa7f-cd636d88a2;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.002006516239999
51.689118000023015, -0.42937850469527905;"{""coordinates"": [[-0.43290300000020904, 51.69260899999983], [-0.42861400000020905, 51.68819049999985], [-0.42564100000021204, 51.68586399999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:f3c04af8-61ef-4404-b9a4-febb565fc0;2015-10-26T07:00:00+07:00;AN010;GB;28;2;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.00993290673
51.47812231717621, -0.054866641250274004;"{""coordinates"": [[-0.05421250000020401, 51.47949749999984], [-0.05458200000021, 51.47872099999983], [-0.054798000000204, 51.478266999999846], [-0.055520500000199, 51.47674699999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:3ff6cb40-a26b-4bcf-a7d4-ce1b452c4b;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;2;45;0.003045671459999
